amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,cycle,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,sub_id,timestamp,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,,,,,,,,,,,,,,,,,C00047548,,,,,,,2008,189.0,2007-03-09T00:00:00,INCOME TAX,OTHER,,,,,,,,,286988,F3,27039422970,17,Operating Expenditures,1041620070000539577,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039422970,OGDEN,,,UNITED STATES TREASURY,UT,84201,,Q1,2007,SB,ITEMIZED DISBURSEMENTS,,2042620071077014215,2017-11-05T20:29:10.060320+00:00,,2008,
A,ADD,,,,,,,,,,,,,,,,,,,C00047548,,,,,,,2008,2000.0,2007-04-24T00:00:00,DONATION,OTHER,,,,,,,,,299590,F3,27039472540,21,Other Disbursements,1071720070000553871,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039472540,BETHESDA,,,GEORGETOWN PREPARATORY SCHOOL,MD,20852,,Q2,2007,SB,ITEMIZED DISBURSEMENTS,,2080720071079359475,2017-11-05T20:29:10.060320+00:00,,2008,
A,ADD,,,,RODNEY P.,H2NJ05014,FRELINGHUYSEN,,"FRELINGHUYSEN, RODNEY P.",H,HOUSE,11,NJ,NEW JERSEY,,,NJ,,,C00047548,,,,,,,2008,2000.0,2007-06-11T00:00:00,CONTRIBUTION,CONTRIBUTIONS,24K,CONTRIBUTION MADE TO NON-AFFILIATED,G,,,,GENERAL,,299590,F3,27039472540,21,Other Disbursements,1071720070000553871,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039472540,MORRISTOWN,"{'cycles': [1992, 2018, 2014, 2016, 1986, 1988, 1996, 2000, 2010, 2006, 1984, 2004, 2008, 2012, 1998, 1990, 2002, 1982, 1994], 'street_2': None, 'state': 'NJ', 'organization_type': None, 'party': None, 'party_full': None, 'city': 'MORRISTOWN', 'committee_type': 'H', 'committee_id': 'C00148684', 'committee_type_full': 'House', 'designation_full': 'Authorized by a candidate', 'name': 'FRELINGHUYSEN FOR CONGRESS', 'candidate_ids': ['H2NJ05014'], 'street_1': '19 CATTANO AVENUE', 'cycle': 2008, 'treasurer_name': 'ALBERT N OLSEN', 'organization_type_full': None, 'state_full': 'New Jersey', 'zip': '07960', 'designation': 'A'}",C00148684,FRELINGHUYSEN FOR CONGRESS,NJ,07960,,Q2,2007,SB,ITEMIZED DISBURSEMENTS,,2080720071079359476,2017-11-05T20:29:10.060320+00:00,,2008,C00148684
A,ADD,,,,JOHN P MR.,H6PA12030,MURTHA,,"MURTHA, JOHN P MR.",H,HOUSE,12,PA,PENNSYLVANIA,,,PA,,,C00047548,,,,,,,2008,2000.0,2007-06-11T00:00:00,CONTRIBUTION,CONTRIBUTIONS,24K,CONTRIBUTION MADE TO NON-AFFILIATED,G,,,,GENERAL,,299590,F3,27039472540,21,Other Disbursements,1071720070000553871,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039472540,JOHNSTOWN,"{'cycles': [1976, 1986, 1978, 2006, 1992, 2008, 1990, 2010, 1994, 2012, 1998, 2000, 2002, 1982, 1996, 2004, 1984, 1980, 1988], 'street_2': 'BT FINANCIAL PLAZA SUITE 220', 'state': 'PA', 'organization_type': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'city': 'JOHNSTOWN', 'committee_type': 'H', 'committee_id': 'C00019075', 'committee_type_full': 'House', 'designation_full': 'Principal campaign committee', 'name': 'MURTHA FOR CONGRESS COMMITTEE', 'candidate_ids': ['H6PA12030'], 'street_1': 'Suite 120, 551 Main Street', 'cycle': 2008, 'treasurer_name': 'Ondick, Treasurer, Robert C. Mr.', 'organization_type_full': None, 'state_full': 'Pennsylvania', 'zip': '15901', 'designation': 'P'}",C00019075,MURTHA FOR CONGRESS COMMITTEE,PA,15901,,Q2,2007,SB,ITEMIZED DISBURSEMENTS,,2080720071079359477,2017-11-05T20:29:10.060320+00:00,,2008,C00019075
A,ADD,,,,,,,,,,,,,,,,,,,C00047548,,,,,,,2008,250.0,2007-08-16T00:00:00,CONTRIBUTION,OTHER,,,,,,,,,309100,F3,27039541620,21,Other Disbursements,1101520070000564610,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039541620,SCRANTON,,,CORDARO/MUNCHAK CAMPAIGN,PA,18502,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,2102320071081796378,2017-11-05T20:29:10.060320+00:00,,2008,
A,ADD,,,,JOHN P MR.,H6PA12030,MURTHA,,"MURTHA, JOHN P MR.",H,HOUSE,12,PA,PENNSYLVANIA,,,PA,,,C00047548,,,,,,,2008,2000.0,2007-09-06T00:00:00,CONTRIBUTION,CONTRIBUTIONS,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,,,,,,309100,F3,27039541620,21,Other Disbursements,1101520070000564610,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039541620,JOHNSTOWN,"{'cycles': [1976, 1986, 1978, 2006, 1992, 2008, 1990, 2010, 1994, 2012, 1998, 2000, 2002, 1982, 1996, 2004, 1984, 1980, 1988], 'street_2': 'BT FINANCIAL PLAZA SUITE 220', 'state': 'PA', 'organization_type': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'city': 'JOHNSTOWN', 'committee_type': 'H', 'committee_id': 'C00019075', 'committee_type_full': 'House', 'designation_full': 'Principal campaign committee', 'name': 'MURTHA FOR CONGRESS COMMITTEE', 'candidate_ids': ['H6PA12030'], 'street_1': 'Suite 120, 551 Main Street', 'cycle': 2008, 'treasurer_name': 'Ondick, Treasurer, Robert C. Mr.', 'organization_type_full': None, 'state_full': 'Pennsylvania', 'zip': '15901', 'designation': 'P'}",C00019075,MURTHA FOR CONGRESS COMMITTEE,PA,15901,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,2102320071081796379,2017-11-05T20:29:10.060320+00:00,,2008,C00019075
A,ADD,,,,,,,,,,,,,,,,,,,C00047548,,,,,,,2008,1000.0,2007-09-13T00:00:00,DONATION,OTHER,,,,,,,,,309100,F3,27039541620,21,Other Disbursements,1101520070000564610,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039541620,DUNMORE,,,MCB FOUNDATION,PA,18512,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,2102320071081796380,2017-11-05T20:29:10.060320+00:00,,2008,
A,ADD,,,,,,,,,,,,,,,,,,,C00047548,,,,,,,2008,2000.0,2007-09-13T00:00:00,CONTRIBUTION,OTHER,,,,,,,,,309100,F3,27039541621,21,Other Disbursements,1101520070000564610,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?27039541621,MERRIFIELD,,,FRIENDS OF PATRICK MCDADE,VA,22116,,Q3,2007,SB,ITEMIZED DISBURSEMENTS,,2102320071081796381,2017-11-05T20:29:10.060320+00:00,,2008,
A,ADD,,,,,,,,,,,,,,,,,,,C00047548,,,,,,,2008,0.0,2007-10-08T00:00:00,DONATION,OTHER,,,,,,,,,323513,F3,28039614663,21,Other Disbursements,1020420080000581790,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?28039614663,BETHESDA,,,GEROGETOWN PREPARATORY SCHOOL,MD,20852,,YE,2007,SB,ITEMIZED DISBURSEMENTS,,2022020081084965810,2017-11-05T20:29:10.060320+00:00,,2008,
A,ADD,,,,PATRICK,,MCDADE,,"MCDADE, PATRICK",,,,,,,,,,,C00047548,,,,,,,2008,1000.0,2008-01-09T00:00:00,CONTRIBUTION,OTHER,,,,,,,,,341445,F3,28039700976,21,Other Disbursements,1042220080000602064,2017-11-05T20:29:10.060320+00:00,,,,False,,,,,,,,,,http://docquery.fec.gov/cgi-bin/fecimg/?28039700976,MERRIFIELD,,,FRIENDS OF PATRICK MCDADE,VA,22116,,Q1,2008,SB,ITEMIZED DISBURSEMENTS,,2052420081089872356,2017-11-05T20:29:10.060320+00:00,,2008,
