committee_id,candidate_name,state_full,disbursement_date,disbursement_description,disbursement_amount,recipient_name,pdf_url,sub_id,two_years_after_office,two_years_after_last_election,after_death,TIMES_CATEGORY
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-15 00:00:00,TELEPHONE SERVICE,55.0,QWEST COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?27020250033,2072620071079003371,False,False,True,phones/fax
C00287953,"THOMAS, CRAIG",Wyoming,2007-07-01 00:00:00,CHANGE OF ADDRESS FEE,1.0,U.S. POSTMASTER,http://docquery.fec.gov/cgi-bin/fecimg/?27020352788,2102520071081962288,False,False,True,office: postage/shipping
C00287953,"THOMAS, CRAIG",Wyoming,2007-07-01 00:00:00,CHANGE OF ADDRESS FEE,1.0,U.S. POSTMASTER,http://docquery.fec.gov/cgi-bin/fecimg/?27020352788,2102520071081962289,False,False,True,office: postage/shipping
C00287953,"THOMAS, CRAIG",Wyoming,2007-07-01 00:00:00,DONATION,522.0,LEUKEMIA AND LYMPHOMA SOCIETY,http://docquery.fec.gov/cgi-bin/fecimg/?27020352805,2102520071081962337,False,False,True,charitable donation
C00287953,"THOMAS, CRAIG",Wyoming,2007-07-02 00:00:00,SOFTWARE,239.0,DELL COMPUTERS,http://docquery.fec.gov/cgi-bin/fecimg/?27020352788,2102520071081962290,False,False,True,campaign software
C00287953,"THOMAS, CRAIG",Wyoming,2007-07-02 00:00:00,PARKING,160.0,DULLES AIRPORT PARKING,http://docquery.fec.gov/cgi-bin/fecimg/?27020352789,2102520071081962291,False,False,True,parking
C00287953,"THOMAS, CRAIG",Wyoming,2007-07-02 00:00:00,SHIPPING,109.0,FEDERAL EXPRESS,http://docquery.fec.gov/cgi-bin/fecimg/?27020352789,2102520071081962292,False,False,True,office: postage/shipping
C00287953,"THOMAS, CRAIG",Wyoming,2007-07-02 00:00:00,SHIPPING,18.0,FEDERAL EXPRESS,http://docquery.fec.gov/cgi-bin/fecimg/?27020352789,2102520071081962293,False,False,True,office: postage/shipping
C00287953,"THOMAS, CRAIG",Wyoming,2007-09-06 00:00:00,DONATION,250.0,ROCK SPRINGS URA,http://docquery.fec.gov/cgi-bin/fecimg/?27020352802,2102520071081962332,False,False,True,charitable donation
C00287953,"THOMAS, CRAIG",Wyoming,2007-09-10 00:00:00,TELEPHONE SERVICE,125.0,QWEST COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?27020352803,2102520071081962333,False,False,True,phones/fax
C00287953,"THOMAS, CRAIG",Wyoming,2007-09-11 00:00:00,WIRELESS SERVICE,236.0,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?27020352803,2102520071081962334,False,False,True,phones: cell/wireless data
C00287953,"THOMAS, CRAIG",Wyoming,2007-09-13 00:00:00,DONATION,5000.0,WYOMING HERITAGE FOUNDATION,http://docquery.fec.gov/cgi-bin/fecimg/?27020352805,2102520071081962338,False,False,True,charitable donation
C00287953,"THOMAS, CRAIG",Wyoming,2007-11-09 00:00:00,WIRELESS SERVICE,238.0,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?28020052650,2021120081084594754,False,False,True,phones: cell/wireless data
C00287953,"THOMAS, CRAIG",Wyoming,2007-11-19 00:00:00,MEAL,42.0,CASPER PETROLEUM CLUB,http://docquery.fec.gov/cgi-bin/fecimg/?28020052650,2021120081084594755,False,False,True,meals
C00287953,"THOMAS, CRAIG",Wyoming,2007-11-19 00:00:00,MILEAGE,187.0,"GERINGER, GALE",http://docquery.fec.gov/cgi-bin/fecimg/?28020052651,2021120081084594756,False,False,True,accounting/compliance/tax prep
C00287953,"THOMAS, CRAIG",Wyoming,2008-01-24 00:00:00,WIRELESS SERVICE,46.0,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?28020170427,2050520081088828751,False,False,True,phones: cell/wireless data
C00287953,"THOMAS, CRAIG",Wyoming,2008-07-24 00:00:00,WIRELESS PHONE,91.0,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?28020551971,2102820081099650779,False,False,True,phones: cell/wireless data
C00287953,"THOMAS, CRAIG",Wyoming,2008-07-29 00:00:00,INTERNET SERVICE,106.0,BRESNAN COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?28020551972,2102820081099650780,False,False,True,internet
C00287953,"THOMAS, CRAIG",Wyoming,2008-07-29 00:00:00,STORAGE,258.0,CHEYENNE STORAGE,http://docquery.fec.gov/cgi-bin/fecimg/?28020551972,2102820081099650781,False,False,True,storage
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-11 00:00:00,WIRELESS SERVICE,322.0,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?27020250031,2072620071079003366,False,False,True,phones: cell/wireless data
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-12 00:00:00,CREDIT CARD CHARGE,5000.0,CHASE BANK ONE,http://docquery.fec.gov/cgi-bin/fecimg/?27020250031,2072620071079003367,False,False,True,credit cards
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-14 00:00:00,TRAVEL,552.0,"GERINGER, GALE",http://docquery.fec.gov/cgi-bin/fecimg/?27020250032,2072620071079003368,False,False,True,travel
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-14 00:00:00,MEALS,514.0,US SENATE RESTAURANT,http://docquery.fec.gov/cgi-bin/fecimg/?27020250032,2072620071079003369,False,False,True,events: memorials
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-15 00:00:00,COMPENSATION FOR CAMPAIGN MANAGEMENT,2000.0,"GERINGER, GALE",http://docquery.fec.gov/cgi-bin/fecimg/?27020250032,2072620071079003370,False,False,True,accounting/compliance/tax prep
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-18 00:00:00,FUNERAL EXPENSES - RECEPTION,6023.0,CASPER PETROLEUM CLUB,http://docquery.fec.gov/cgi-bin/fecimg/?27020250033,2072620071079003372,False,False,True,events: memorials
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-18 00:00:00,FUNERAL EXPENSES,3891.0,KISTLER TENT & AWNING,http://docquery.fec.gov/cgi-bin/fecimg/?27020250033,2072620071079003373,False,False,True,events: memorials
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-24 00:00:00,ROOMS,539.0,HILTON HOTEL ARLINGTON,http://docquery.fec.gov/cgi-bin/fecimg/?27020250034,2072620071079003374,False,False,True,travel
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-24 00:00:00,MEALS,319.0,OLD CHICAGO,http://docquery.fec.gov/cgi-bin/fecimg/?27020250034,2072620071079003375,False,False,True,meals
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-25 00:00:00,AIRFARE,1790.0,DELTA AIRLINES,http://docquery.fec.gov/cgi-bin/fecimg/?27020250034,2072620071079003376,False,False,True,travel
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-25 00:00:00,MILEAGE,321.0,"GERINGER, GALE",http://docquery.fec.gov/cgi-bin/fecimg/?27020250035,2072620071079003377,False,False,True,accounting/compliance/tax prep
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-25 00:00:00,MILEAGE,220.0,"PAXSON, MARY",http://docquery.fec.gov/cgi-bin/fecimg/?27020250035,2072620071079003378,False,False,True,travel
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-25 00:00:00,MILEAGE,439.0,"THOMAS, SUSAN",http://docquery.fec.gov/cgi-bin/fecimg/?27020250035,2072620071079003379,False,False,True,travel
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-25 00:00:00,MILEAGE,229.0,"DETI, TRAVIS",http://docquery.fec.gov/cgi-bin/fecimg/?27020250036,2072620071079003380,False,False,True,travel
C00287953,"THOMAS, CRAIG",Wyoming,2007-06-25 00:00:00,AIRFARE,427.0,UNITED AIRLINES,http://docquery.fec.gov/cgi-bin/fecimg/?27020250036,2072620071079003381,False,False,True,travel
